Set	Total
{fluoroquinolone, fosfomycin}	1
{MLS, aminocoumarin, quinolone}	2
{beta-lactam, lipopeptide}	2
{chloramphenicol, colistin, lipopeptide}	1
{fusidic acid, fusidic_acid, tetracycline}	1
{fusidic acid, fusidic_acid}	1
{glycopeptide, lipopeptide}	3
{lipopeptide, polymyxin}	8
{fosfomycin, fosmidomycin}	1
{fosfomycin, multidrug}	4
{colistin, lipopeptide, multidrug}	1
{aminoglycoside, fluoroquinolone}	2
{chloramphenicol, fluoroquinolone, quinolone}	1
{beta-lactam, tetracycline}	1
{fluoroquinolone, polymyxin}	1
{aminoglycoside, fosmidomycin}	1
{fosfomycin, tetracycline}	1
{aminoglycoside, fluoroquinolone, quinolone}	2
{isoniazid, isoniazid/triclosan}	1
{bacitracin, triclosan}	1
{multidrug, nitrofuran}	1
{colistin, lipopeptide, polymyxin}	3
{mycobacterium_tuberculosis-specific_drug, trimethoprim}	1
{fosfomycin, rifampin}	1
{bacitracin, glycopeptide}	968
{multidrug, qa_compound}	2
{glycopeptide, polymyxin}	43
{beta-lactam, drug_and_biocide_resistance, multidrug}	2
{drug_and_biocide_resistance, multidrug, quinolone}	2
{drug_and_biocide_resistance, efflux, multidrug}	12
{multidrug, na}	8
{na, rifampin, rifamycin}	3
{lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug, oxazolidinone, amphenicol, lincosamide, streptogramin a, pleuromutilin}	2
{multidrug, polymyxin}	5
{fosmidomycin, multidrug}	7
{colistin, glycopeptide, polymyxin}	1
{amphenicol, multidrug, phenicol}	1
{chloramphenicol, multidrug}	3
{amphenicol, chloramphenicol, multidrug, phenicol}	1
{MLS, lincosamide, lincosamide, streptogramin a, pleuromutilin, multidrug}	4
{fusidane, fusidic_acid}	1
{drug_and_biocide_resistance, multidrug, na}	2
{multidrug, not found}	1
{lincosamide, streptogramin a, lincosamide/streptogramin, ml, multidrug}	1
{MLS, ml, streptogramin}	1
{drug_and_biocide_resistance, multidrug, phenicol}	1
{na, thiostrepton}	2
{na, thiopeptide, thiostrepton}	1
{multidrug, peptide}	1
{beta-lactam, puromycin}	1
{drug_and_biocide_resistance, multidrug, quaternary ammonium, quinolone}	2
{na, tunicamycin}	1
{lipopeptide/rifamycin, rifampin, rifamycin}	1
{bleomycin, fosfomycin, glycopeptide, polypeptide}	1
{fosfomycin, multidrug, phosphonic acid}	1
{aminoglycoside, rifampin, rifamycin}	1
{na, rifampin}	1
{aminoglycoside, beta-lactam, streptothricin}	1
{fluoroquinolone, multidrug}	1
{beta-lactam, rifampin}	1
{azabicycloalkane, multidrug}	1
{beta-lactam, peptide}	2
{quinolone, rifampin, rifamycin}	1
{colistin, polymyxin}	8
{aminoglycoside, beta-lactam, macrolide}	1
{quinolone, rifampin}	2
{bleomycin, multidrug}	1
{quaternary ammonium, quinolone}	7
{disinfecting agents and antiseptic, quinolone}	6
{multidrug, quaternary ammonium}	1
{fusidic acid, fusidic_acid, steroid antibacterial}	1
{aminoglycoside, bleomycin, glycopeptide}	1
{bacitracin, bleomycin}	1
{multidrug, oxazolidinone, amphenicol}	18
{MLS, aminoglycoside, macrolide}	1
{bacitracin, macrolide}	2
{bacitracin, multidrug}	1
{na, polymyxin}	1
{MLS, streptogramin}	6
{bacitracin, multidrug, qa_compound}	1
{bacitracin, qa_compound}	1
{multidrug, triclosan}	1
{lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, ml, multidrug, oxazolidinone, amphenicol, lincosamide, streptogramin a, pleuromutilin}	1
{aminoglycoside, aminoglycoside/phenicol, phenicol}	1
{ml, oxazolidinone, amphenicol, lincosamide, streptogramin a, pleuromutilin}	1
